ratio_edge_cases.log created successfully
============================================

APOLLOHOSP Mar 2015 | ROCE Difference=6.64% | Category: Formula Difference
APOLLOHOSP Mar 2016 | ROE Difference=6.76% | Category: Version Difference
APOLLOHOSP Mar 2016 | ROCE Difference=10.15% | Category: Formula Difference
APOLLOHOSP Mar 2017 | ROE Difference=9.86% | Category: Version Difference
APOLLOHOSP Mar 2017 | ROCE Difference=13.25% | Category: Formula Difference
APOLLOHOSP Mar 2018 | ROE Difference=11.96% | Category: Version Difference
APOLLOHOSP Mar 2018 | ROCE Difference=15.35% | Category: Formula Difference
APOLLOHOSP Mar 2019 | ROE Difference=7.81% | Category: Version Difference
APOLLOHOSP Mar 2019 | ROCE Difference=11.20% | Category: Formula Difference
APOLLOHOSP Mar 2021 | ROE Difference=10.83% | Category: Version Difference
APOLLOHOSP Mar 2021 | ROCE Difference=14.22% | Category: Formula Difference
APOLLOHOSP Mar 2022 | ROE Difference=5.89% | Category: Version Difference
ASIANPAINT Mar 2013 | ROCE Difference=7.47% | Category: Formula Difference
ASIANPAINT Mar 2013 | ROCE Difference=7.47% | Category: Formula Difference
ASIANPAINT Mar 2014 | ROCE Difference=10.48% | Category: Formula Difference
ASIANPAINT Mar 2014 | ROCE Difference=10.48% | Category: Formula Difference
ASIANPAINT Mar 2015 | ROCE Difference=11.66% | Category: Formula Difference
ASIANPAINT Mar 2015 | ROCE Difference=11.66% | Category: Formula Difference
ASIANPAINT Mar 2016 | ROCE Difference=14.12% | Category: Formula Difference
ASIANPAINT Mar 2016 | ROCE Difference=14.12% | Category: Formula Difference
ASIANPAINT Mar 2017 | ROCE Difference=15.24% | Category: Formula Difference
ASIANPAINT Mar 2017 | ROCE Difference=15.24% | Category: Formula Difference
ASIANPAINT Mar 2018 | ROE Difference=6.50% | Category: Version Difference
ASIANPAINT Mar 2018 | ROCE Difference=16.80% | Category: Formula Difference
ASIANPAINT Mar 2018 | ROE Difference=6.50% | Category: Version Difference
ASIANPAINT Mar 2018 | ROCE Difference=16.80% | Category: Formula Difference
ASIANPAINT Mar 2019 | ROE Difference=8.14% | Category: Version Difference
ASIANPAINT Mar 2019 | ROCE Difference=18.44% | Category: Formula Difference
ASIANPAINT Mar 2019 | ROE Difference=8.14% | Category: Version Difference
ASIANPAINT Mar 2019 | ROCE Difference=18.44% | Category: Formula Difference
ASIANPAINT Mar 2020 | ROCE Difference=14.37% | Category: Formula Difference
ASIANPAINT Mar 2020 | ROCE Difference=14.37% | Category: Formula Difference
ASIANPAINT Mar 2021 | ROE Difference=6.41% | Category: Version Difference
ASIANPAINT Mar 2021 | ROCE Difference=16.71% | Category: Formula Difference
ASIANPAINT Mar 2021 | ROE Difference=6.41% | Category: Version Difference
ASIANPAINT Mar 2021 | ROCE Difference=16.71% | Category: Formula Difference
ASIANPAINT Mar 2022 | ROE Difference=9.11% | Category: Version Difference
ASIANPAINT Mar 2022 | ROCE Difference=19.41% | Category: Formula Difference
ASIANPAINT Mar 2022 | ROE Difference=9.11% | Category: Version Difference
